policy,claim,y,n,cd,CI_y,CI_n
"Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occurring fire.""</b> ","Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a defect in the grill causes its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage.",8,16,4,0.13238517308545675,0.35494700494259596
"Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occurring fire.""</b> ","Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a quick-moving brush fire spreads to her property, causing her garage to go up in flames before spreading to the grill and causing its propane tank to explode. Fatema files a claim with her insurance company for the damage to the garage.",26,9,0,0.5412175590544773,0.12384646903102413
"John's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss or damage caused by wear and tear.""</b>","John takes generally good care of his car, but one day he is involved in a minor accident which damages his front left wheel. He brings the car to a mechanic to have the wheel replaced. John files a claim with his insurance company for the damage. ",16,10,0,0.38673777142116733,0.19764906752407405
"John's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss or damage caused by wear and tear.""</b>","John takes generally good care of his car, but one day he is involved in a minor accident which knocks his front left wheel out of alignment. He brings his car in to a mechanic to have the wheel re-aligned, but the mechanic tells John that his car will also need substantial repair work because the unaligned wheel has been scraping against the body of the car since the accident. John files a claim with his insurance company for the damage. ",21,11,2,0.41532974918176613,0.1694916554905748
"John's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss or damage caused by wear and tear.""</b>","John takes generally good care of his car, but over the years he has noticed a gradual buildup of rust on his front left wheel. He brings the car to a mechanic to have the wheel replaced. John files a claim with his insurance company for the damage. ",3,29,1,0.025373794841479037,0.685247366942127
"Jack has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's occupation.""</b>","Jack is a successful business consultant. One day, while Jack is at home, hackers manage to infiltrate the computer network at Jack's office. The hackers steal Jack's credit card information and make a number of fraudulent purchases in his name. To resolve the fraud, Jack must spend thousands of dollars in legal fees. Jack files a claim with his insurance company for his losses. ",20,8,2,0.44925559903175305,0.1230757121975969
"Jack has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's occupation.""</b>","Jack is a successful business consultant. One day, while Jack is at home, hackers manage to infiltrate Jack's home WiFi network. The hackers steal Jack's credit card information and make a number of fraudulent purchases in his name. To resolve the fraud, Jack must spend thousands of dollars in legal fees. Jack files a claim with his insurance company for his losses. ",19,6,0,0.5208094443165291,0.09778575226485807
"Jack has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's occupation.""</b>","Jack is a successful business consultant. One day, while Jack is at home, hackers manage to infiltrate the computer network of an upscale restaurant where Jack and his colleagues frequently conduct meetings. The hackers steal Jack's credit card information and make a number of fraudulent purchases in his name. To resolve the fraud, Jack must spend thousands of dollars in legal fees. Jack files a claim with his insurance company for his losses. ",17,11,4,0.3319583666692019,0.18085961150987656
"Martha has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ","Martha is installing hardwood flooring in her living room. She uses a heat gun -- a device that emits very hot air -- to help dry the glue that attaches the floorboards. While arranging her floorboards, she sets her heat gun down on her expensive dining room table, which causes the surface of the table to burn but not catch fire. Martha files a claim with her insurance company for the damage.",19,10,3,0.3875690217306261,0.15810142906950617
"Martha has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ","Martha is installing hardwood flooring in her living room. She uses a heat gun -- a device that emits very hot air -- to help dry the glue that attaches the floorboards. While arranging her floorboards, she sets her heat gun down on her expensive dining room table, which causes the table to catch fire. Martha files a claim with her insurance company for the damage.",27,3,1,0.6685681697043083,0.027036816060263372
"Martha has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ","Martha is installing hardwood flooring in her living room. She uses a heat gun -- a device that emits very hot air -- to help dry the glue that attaches the floorboards. While arranging her floorboards, she sets her heat gun down on her expensive dining room table, which severely warps the table's surface. Martha files a claim with her insurance company for the damage.",23,9,8,0.39034664789694945,0.10767154909658555
"Denise's insurance covers damage from ""House Removal,"" defined as <b>""damage to belongings caused while being removed by professional removal contractors from the home.""</b>","Denise is moving to a new home on the other side of town. She pays a professional moving company to move her belongings out of her current home. During the move, the moving truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.  ",32,8,0,0.6158934987610288,0.09108698012092807
"Denise's insurance covers damage from ""House Removal,"" defined as <b>""damage to belongings caused while being removed by professional removal contractors from the home.""</b>","Denise is moving to a new home on the other side of town. She asks her uncle, a retired professional mover, to help move her belongings out of her current home. During the move, her uncle's truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings.",1,27,0,0.004716598346913293,0.7755177202029245
"Denise's insurance covers damage from ""House Removal,"" defined as <b>""damage to belongings caused while being removed by professional removal contractors from the home.""</b>","Denise is moving to a new home on the other side of town. She rents a truck and decides she will move her own belongings out of her current home. During the move, her truck is involved in a minor accident that damages several pieces of her furniture and other belongings. Denise files a claim with her insurance company for the damage to her belongings. ",5,18,1,0.0775967656336895,0.5056812328206942
"Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>","One day, Ken parks his car next to his home and leaves a smoldering cigarette butt in his car ashtray. The cigarette butt does not catch fire, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.",3,28,3,0.024616730487140477,0.6247381735509513
"Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>","One day, Ken parks his car next to his home, and while he is out on a jog his neighbor's home catches fire. The fire spreads to Ken's car, which is subsequently destroyed in the blaze. Ken files a claim with his insurance company for the damage. ",30,2,1,0.7224872931937085,0.013143701771990602
"Ken's car insurance policy includes coverage for ""Vehicle Fire,"" defined as <b>""loss or damage to the policy holder's car as a result of fire, lightning or explosion.""</b>","One day, Ken parks his car next to his home and leaves behind his smartphone, which catches fire later that day due to a defect. The fire does not spread to the rest of the car, but it causes significant smoke damage to the car's interior. Ken files a claim with his insurance company for the damage.",23,7,4,0.47152175623462633,0.08898542042358258
"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,30,1,0,0.7937794926869607,0.004258651054382017
"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.,17,15,3,0.30023579421188734,0.2527193270640852
"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall.,23,0,1,0.745470963099825,0.0
"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b> ","One day, Steve is involved in a minor accident. His favorite guitar, which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage. ",6,21,0,0.09022422095788912,0.5485034110219194
"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b> ","One day, Steve is involved in a minor accident. His tablet computer, which he uses for navigation and which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage. ",13,16,2,0.2366152176635525,0.31619635956351666
"Steve's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) car accessories (while in or on the car)."" </b> ","One day, Steve is involved in a minor accident. His GPS navigation system, which was in the car at the time, was damaged. Steve files a claim with his insurance company for the damage. ",30,2,0,0.7556507263862877,0.013558106527260827
"Peter has insurance that covers ""Loss or Damage to a Goods Carrying Vehicle,"" which includes <b>""key replacement in the case of theft.""</b>","As part of his bakery business, Peter owns a van which he uses to make local deliveries. One day, Peter is mugged by an individual who takes the key to the van. Replacing the key costs Peter hundreds of dollars. Peter files a claim with his insurance company for his losses.",32,1,0,0.8043893257838111,0.003999753601621522
"Peter has insurance that covers ""Loss or Damage to a Goods Carrying Vehicle,"" which includes <b>""key replacement in the case of theft.""</b>","As part of his bakery business, Peter owns a van which he uses to make local deliveries. One day, Peter realizes he has lost the key to the van. Replacing the key costs Peter hundreds of dollars. Peter files a claim with his insurance company for his losses.",7,13,0,0.15584071897703464,0.38902122195660765
"Peter has insurance that covers ""Loss or Damage to a Goods Carrying Vehicle,"" which includes <b>""key replacement in the case of theft.""</b>","As part of his bakery business, Peter owns a van which he uses to make local deliveries. One day, Peter lends the van to an absent-minded acquaintance, who returns the van but neglects to return the key and does not answer Peter's insistent calls. Replacing the key costs Peter hundreds of dollars. Peter files a claim with his insurance company for his losses.",9,16,1,0.16985486101342764,0.38673777142116733
"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.",25,7,4,0.494956278178276,0.08385465852863715
"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.",22,1,0,0.7366607855236769,0.005746504891547587
"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.",8,9,2,0.2009681777230967,0.23934307662750728
"Aneesh's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass, and any scratching to the bodywork caused solely and directly by broken glass.""</b>","Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front hood. When he returns, he discovers that the hood has been severely damaged. Aneesh files a claim with his insurance company for the damage. ",3,26,0,0.028933190670327028,0.6911631225274859
"Aneesh's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass, and any scratching to the bodywork caused solely and directly by broken glass.""</b>","Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits his car's front windshield. When he returns, he discovers that the windshield has been severely damaged and that broken shards from the windshield managed to leave scratches on the car. Aneesh files a claim with his insurance company for the damage. ",37,5,0,0.7140301244873961,0.04360824725161749
"Aneesh's car insurance policy includes coverage for ""Vehicle Glass"" damage, defined as <b>""broken glass, and any scratching to the bodywork caused solely and directly by broken glass.""</b>","Aneesh drives a convertible Porsche and parks his car one day in an outdoor parking lot. While his car is parked in the lot, a baseball from a nearby little league game hits one of his car's side mirrors. When he returns, he discovers that the side mirror has been severely damaged and that broken shards from the side mirror managed to leave scratches on the car. Aneesh files a claim with his insurance company for the damage.",23,2,0,0.7007439248004362,0.017397960716967725
"Genie has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""</b>","Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, the store temporarily shuts down due to staff shortages, and Genie decides that it is too inconvenient to buy the fertilizer from another store located slightly further away. Without the fertilizer, the plants die. Genie files a claim with her insurance company for the damage to her plants.",10,31,1,0.118643280857193,0.5544960112792469
"Genie has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""</b>","Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, they start picketing outside, and some of their picketing activities spill over to Genie's property. When the strikers inadvertently walk on Genie's plants, the plants die. Genie files a claim with her insurance company for the damage to her plants.",29,0,0,0.8349855662546786,0.0
"Genie has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""</b>","Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, the store temporarily shuts down due to staff shortages, and Genie is unable to find the fertilizer within driving distance from her home or online. Without the fertilizer, the plants die. Genie files a claim with her insurance company for the damage to her plants.",9,14,0,0.1939382822389567,0.3679654919132732
"Jett has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from your home.""</b>","Jett discovers that his house's water pressure is very low, and he calls an inspector to survey what may be the issue. Floorboards have to be removed to access the piping. It is then discovered that the water pipes have cracked over time due to long-term wear, an issue which could have been resolved by the previous inspector. Jett files a claim with his insurance company for the damage. . ",23,10,3,0.44079412657639205,0.13952713499267144
"Jett has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from your home.""</b>","Jett discovers that his house's water pressure is very low, and he calls an inspector to survey what may be the issue. Floorboards have to be removed to access the piping. It is then discovered that the water pipes froze in a recent winter storm, causing them to abruptly crack. Jett files a claim with his insurance company for the damage. ",23,4,3,0.5491872432207432,0.04384316029058143
"Jett has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables, pipes, underground drain pipes or tanks providing services to and from your home.""</b>","Jett discovers that his house's water pressure is very low, and he calls an inspector to survey what may be the issue. Floorboards have to be removed to access the piping. It is then discovered that the issue is due to the fact that Jett did an extremely poor job installing the piping. Jett files a claim with his insurance company for the damage. ",10,13,3,0.19764906752407405,0.28750551980937883
"Jason has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's business.""</b>","Jason is a successful car salesman. One day, while Jason is at home, hackers manage to infiltrate Jason's home WiFi network. The hackers steal Jason's social security number and open a number of fraudulent lines of credit in his name. To resolve the fraud, Jason must spend thousands of dollars in legal fees. Jason files a claim with his insurance company for his losses. ",20,13,1,0.38815499747475846,0.2139763486857318
"Jason has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's business.""</b>","Jason is a successful car salesman. One day, while Jason is at home, hackers manage to infiltrate Jason's work laptop via his home WiFi network. The hackers steal Jason's social security number and open a number of fraudulent lines of credit in his name. To resolve the fraud, Jason must spend thousands of dollars in legal fees. Jason files a claim with his insurance company for his losses. ",14,6,2,0.38768622334692926,0.11185554988838212
"Jason has insurance coverage against loss and damage from ""Identity Theft,"" which excludes <b>""identity theft connected with the policyholder's business.""</b>","Jason is a successful car salesman. One day, while Jason is at home, hackers manage to infiltrate the computer network at Jason's car dealership. The hackers steal Jason's social security number and open a number of fraudulent lines of credit in his name. To resolve the fraud, Jason must spend thousands of dollars in legal fees. Jason files a claim with his insurance company for his losses. ",15,10,0,0.36896876164029463,0.20626734162042118
"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>","One day, a hail storm hits Rick's house and causes damage to his skylight window. The window is chipped, but the roof is not leaking. Rick files a claim with his insurance company for the damage. ",43,4,0,0.7673502599989493,0.02774932341615326
"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>","One day, a hail storm hits Rick's house and causes damage to the plants on his balcony. Many plants lose leaves and some are completely covered in ice, causing them to die. Rick files a claim with his insurance company for the damage. ",3,29,2,0.024616730487140477,0.6582061297159592
"Rick's home insurance policy includes coverage for ""Hail Damage,"" defined as <b>""damage from hail of such intensity that it causes damage to hard surfaces or breaks glass.""</b>","One day, a hail storm hits Rick's house and causes damage to his roof's clay shingles. Many shingles are chipped and some even develop large cracks, causing the roof to leak. Rick files a claim with his insurance company for the damage.",34,0,1,0.8139614703147043,0.0
"Penelope's car insurance policy includes coverage for up to three months of lost income stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in or getting into or out of your car, resulting in permanent and total loss of use of one or more limbs.""</b>","Penelope is a personal trainer, and on weekends she often goes camping. One day, she is injured in a car crash that occurs while she is driving to a campsite. The doctor informs her that after the accident, she will regain full functionality in her left knee if she commits to daily physical therapy for three months. Penelope commits to the recovery program and completely recovers. She then files a claim with her insurance company for three months' worth of lost income.",17,14,1,0.3319583666692019,0.25342085264411546
"Penelope's car insurance policy includes coverage for up to three months of lost income stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in or getting into or out of your car, resulting in permanent and total loss of use of one or more limbs.""</b>","Penelope is a personal trainer, and on weekends she often goes camping. One day, she is injured in a car crash that occurs while she is driving to a campsite. The doctor informs her that after the accident, she will never regain functionality in her left knee, even with daily physical therapy. Penelope undergoes several months of physical therapy, but her knee makes no recovery. She then files a claim with her insurance company for three months' worth of lost income.",31,2,0,0.7618952370392001,0.013143701771990602
"Penelope's car insurance policy includes coverage for up to three months of lost income stemming from ""Personal Accident,"" defined as <b>""accidental injury while traveling in or getting into or out of your car, resulting in permanent and total loss of use of one or more limbs.""</b>","Penelope is a personal trainer, and on weekends she often goes camping. One day, she is injured in a car crash that occurs while she is driving to a campsite. The doctor informs her that after the accident, she will regain full functionality in her left knee if she commits to expensive physical therapy for three months. Penelope is unable to afford the recovery program, so she never regains use of her knee. She then files a claim with her insurance company for three months' worth of lost income.",17,6,1,0.46461154275535715,0.10206400556934221
"James' car insurance policy includes coverage for ""Vehicle Damage,"" defined as  <b>""damage to the policy holder's 1) car; or 2) car accessories, including children's car seats (while in or on the car)."" </b>","James is about to head out for work when he realizes he needs to clean out his car since he'll be taking some colleagues to lunch. He removes his child's car seat and places it on the trunk of the car. He heads back into his house to grab something he forgot, and he returns to find that the car seat has been stolen. James files a claim with his insurance company for the loss. ",9,17,0,0.16985486101342764,0.4219731328762187
"James' car insurance policy includes coverage for ""Vehicle Damage,"" defined as  <b>""damage to the policy holder's 1) car; or 2) car accessories, including children's car seats (while in or on the car)."" </b>","James is about to head out for work when he realizes he needs to clean out his car since he'll be taking some colleagues to lunch. He removes his child's car seat and places it on the trunk of the car. James forgets about the car seat and begins to drive away with it still on his car. Shortly thereafter, he gets into an accident. The car seat is severely damaged in the crash. James files a claim with his insurance company for the damage. ",15,6,3,0.3869883720251309,0.10206400556934221
"James' car insurance policy includes coverage for ""Vehicle Damage,"" defined as  <b>""damage to the policy holder's 1) car; or 2) car accessories, including children's car seats (while in or on the car)."" </b>","James is about to head out for work when he realizes he needs to clean out his car since he'll be taking some colleagues to lunch. He removes his child's car seat and places it on the trunk of the car. He heads back into his house to grab something he forgot, and he returns to find that another car has crashed into his parked car. The car seat is severely damaged in the crash. James files a claim with his insurance company for the damage. ",28,5,1,0.6247381735509513,0.05414592822785602
"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his street's power line, causing a power surge. The power surge causes the space heater in Cam's attic to catch fire, and almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. ",23,9,2,0.47152175623462633,0.12768481090975775
"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his neighborhood's power plant, causing a power outage. Cam goes to his attic with a candle to reset the circuit breaker, but he drops the candle and starts a fire so large that almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. ",1,35,1,0.003566157375189532,0.7839823651933848
"Cam's home insurance policy includes coverage for ""Storm Damage,"" defined as <b>""damage caused by a storm.""</b>","One day, a lightning storm passes through Cam's neighborhood and lightning hits his roof, causing a fire. Almost all of his roof burns before firefighters manage to extinguish it. Cam files a claim with his insurance company for the damage. ",25,1,1,0.7187902687429266,0.004891947954688181
"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>","Dillon, who lives alone, goes on vacation and leaves his car in his home garage. However, surveillance footage captures an unfamiliar man breaking into his car and driving away. Dillon files a claim with his insurance company for the loss. ",17,10,0,0.40359158966011593,0.1897279676302351
"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>","Dillon, who employs a part-time personal assistant, goes on vacation and leaves his car in his home garage. However, surveillance footage captures his personal assistant breaking into his car and driving away. Dillon files a claim with his insurance company for the loss. ",10,17,0,0.1897279676302351,0.40359158966011593
"Dillon's car insurance policy includes coverage for ""Vehicle Theft,"" which excludes <b>""loss or damage caused by theft or attempted theft if your car was taken by a member of your family or household, or taken by an employee or ex-employee.""</b>","Dillon, who has been separated from his wife for over two years, goes to work one day and parks his car in the garage. However, surveillance footage captures his estranged wife breaking into his car and driving away. Dillon files a claim with his insurance company for the loss. ",13,10,0,0.33042105561494933,0.22600472981035954
"Clint has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One day, Clint hears a loud crash in his house and finds that his roof has partly caved in due to water damage. Clint files a claim with his insurance company for the damage. ",7,27,1,0.08634374923773476,0.571159904220462
"Clint has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One day, Clint hears a loud crash in his house and finds that a large tree has fallen on his roof, causing significant damage. Clint files a claim with his insurance company for the damage. ",9,13,1,0.1939382822389567,0.33042105561494933
"Clint has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One day, Clint hears a loud crash in his house and finds that the ground beneath his house has shifted, causing his house's foundation to crack. Clint files a claim with his insurance company for the damage. ",28,3,1,0.677121636647252,0.026178914437031672
